State,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
Labuan,2011,54.62,30312.02
Malacca,2011,3157.07,1293154.16
Negeri Sembilan,2011,15887.77,7960675.84
Pahang,2011,57724.44,27301857.66
Perak,2011,21466.06,9463618.89
Perlis,2011,396.37,27354.06
Penang,2011,579.71,108871.46
Putrajaya,2011,19.67,1776.09
Sabah,2011,68464.32,39281200.16
Sarawak,2011,191238.67,177482736.38
Selangor,2011,3685.92,1551632.47
Terengganu,2011,12267.49,6426643.79
Johor,2012,38805.24,16259926.56
Kedah,2012,8920.88,5146789.67
Kelantan,2012,35189.78,24137222.89
Kuala Lumpur,2012,53.01,26710.20
Labuan,2012,119.36,66854.67
Malacca,2012,2548.38,1108725.23
Negeri Sembilan,2012,24582.93,13028463.59
Pahang,2012,93638.65,49611555.22
Perak,2012,25397.43,9474405.79
Perlis,2012,637.03,41061.78
Penang,2012,672.01,126361.13
Putrajaya,2012,12.91,2075.81
Sabah,2012,104650.13,56363214.04
Sarawak,2012,268502.79,238637754.48
Selangor,2012,7759.50,2903797.42
Terengganu,2012,16893.23,9314844.34
Johor,2013,24984.70,8825081.16
Kedah,2013,7335.54,3859519.89
Kelantan,2013,16593.89,11310172.52
Kuala Lumpur,2013,1.61,1005.60
Labuan,2013,17.39,9633.14
Malacca,2013,1403.80,478811.33
Negeri Sembilan,2013,10914.66,3258430.79
Pahang,2013,42558.25,22286801.82
Perak,2013,17761.36,5632362.84
Perlis,2013,372.91,61988.87
Penang,2013,354.82,53775.19
Putrajaya,2013,6.53,1568.31
Sabah,2013,65539.72,29060356.81
Sarawak,2013,128694.52,107018733.04
Selangor,2013,3549.12,1459678.95
Terengganu,2013,13272.74,6250224.34
Johor,2014,49796.94,20121883.48
Kedah,2014,15644.41,8803531.47
Kelantan,2014,38713.93,27104599.53
Kuala Lumpur,2014,55.31,27993.88
Labuan,2014,70.94,37248.85
Malacca,2014,5024.27,2039199.32
Negeri Sembilan,2014,18280.93,7676952.46
Pahang,2014,86751.95,45471321.56
Perak,2014,33900.32,12216473.89
Perlis,2014,508.72,187270.63
Penang,2014,826.90,168759.35
Putrajaya,2014,22.67,5136.22
Sabah,2014,137521.26,68446370.26
Sarawak,2014,229051.22,175015464.07
Selangor,2014,13558.34,8064806.64
Terengganu,2014,16298.85,9555310.19
Johor,2015,31797.33,12158470.56
Kedah,2015,13411.43,8351995.99
Kelantan,2015,24416.49,16603052.46
