"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"MYS",1,2007,39197.52209831363420368,17221984.858052112637724
"MYS",2,2007,6068.66298467139468127,3210592.933865413189196
"MYS",3,2007,25134.16357390850668216,13957629.592682569582131
"MYS",4,2007,57.15407547569591789,26845.171909952955982
"MYS",5,2007,40.90945532992133907,23873.009891904502092
"MYS",6,2007,3366.04009787515949154,1413642.789390376365926
"MYS",7,2007,10171.64067709262956793,4820469.893690669366901
"MYS",8,2007,43996.97816839186919370,24643229.104404393347768
"MYS",9,2007,19920.95020010684447749,6885197.763230814705015
"MYS",10,2007,82.94445646070801598,35568.53968921581228
"MYS",11,2007,335.00128706338970214,85927.989633230700885
"MYS",12,2007,29.88956670055918651,4771.21937639993565
"MYS",13,2007,62738.64600805874964073,35036484.961713665587238
"MYS",14,2007,175583.19727970782617010,159644869.618875038103735
"MYS",15,2007,9556.36970455938456253,3895146.519802609765805
"MYS",16,2007,9411.72339490303432824,5084858.831882153246416
"MYS",1,2008,18469.39637895861217840,8407758.771366557386600
"MYS",2,2008,9888.07025391688445782,5413977.347040665860178
"MYS",3,2008,12747.70317018263745268,7463042.304477628625913
"MYS",4,2008,49.47112159384392567,28419.74005257503197
"MYS",5,2008,39.22487402232314446,20061.256776541911157
"MYS",6,2008,2011.36668566350744229,924124.109094293132615
"MYS",7,2008,8383.23704692513461100,4468701.174878255511795
"MYS",8,2008,34052.79841485593828625,17966668.122943425438110
"MYS",9,2008,16776.15299495120435986,5167121.489859445278033
"MYS",10,2008,109.69258186471788033,32564.153339190668989
"MYS",11,2008,337.60414775326043450,86378.459761763273085
"MYS",12,2008,7.37631670303670165,753.57931817869941
"MYS",13,2008,84258.08869100916860537,46865805.355590922090707
"MYS",14,2008,163494.41996898930919942,146285117.549834651681527
"MYS",15,2008,6365.98982352106309368,2953407.345318357798474
"MYS",16,2008,11269.24391700337455912,6288780.915660972215347
"MYS",1,2009,46559.94958005035542741,21775491.043239132595173
"MYS",2,2009,8277.42912427000341378,4177383.834718709068420
"MYS",3,2009,33123.12068369442967233,19488613.947339150557170
"MYS",4,2009,76.20674291991029208,40553.16246670376906
"MYS",5,2009,36.62069043160808953,18663.810429639638622
"MYS",6,2009,3296.61249672343800014,1475990.80379550681357
"MYS",7,2009,17249.40642796717256255,9066685.636491222002662
"MYS",8,2009,55335.48120560326961070,30281275.747146434630196
"MYS",9,2009,29618.16095449780102388,9834284.298642763200715
"MYS",10,2009,241.86794187131095171,97484.199498184625053
"MYS",11,2009,717.99611179405195624,173091.198741844981954
"MYS",12,2009,51.40330140449055550,6170.37250911713856
"MYS",13,2009,92081.39019558565218457,55346849.544740280462225
"MYS",14,2009,306669.61087643439690091,294618162.145008495136935
"MYS",15,2009,14311.36104168092024654,6918018.489943643026675
"MYS",16,2009,15446.12005286633298298,8966998.881522889996921
"MYS",1,2010,28245.03184777063512299,13872736.106402854699069
"MYS",2,2010,13061.43323271816189175,7003308.586152865490954
"MYS",3,2010,30615.78688957305465809,19469516.510138096536669
"MYS",4,2010,77.89401008812159928,40273.071919791875465
"MYS",5,2010,26.20114504226482190,12476.777283481528925
"MYS",6,2010,518.11053654323601756,271922.946186196415314
"MYS",7,2010,5519.89656038812617253,2533827.244419120989704
"MYS",8,2010,56967.97292136035986565,30869835.546910846711277
"MYS",9,2010,27184.18771156663857789,8708206.988621042515968
"MYS",10,2010,170.08786725086827383,66271.769540858101781
"MYS",11,2010,944.22744479582476562,192477.041448055561018
"MYS",12,2010,43.8738449676125696,1771.5772271774790
"MYS",13,2010,104183.63401220149964372,51052115.986372859130072
"MYS",14,2010,136600.52575173679428446,124054271.261535833524598
"MYS",15,2010,9737.46741369449085979,4392166.878493651282341
"MYS",16,2010,17054.36453127912568422,10520735.388364888111002
"MYS",1,2011,57621.21180168162238281,24875438.946097575278268
"MYS",2,2011,7693.21126089366221251,4447912.921211261404919
"MYS",3,2011,22859.98379036292111375,13736300.341538229901697
"MYS",4,2011,33.64690076011053272,18178.48419742138760
"MYS",5,2011,54.62301652497207616,30312.016414045699294
"MYS",6,2011,3157.07257365625883352,1293154.159298599643557
"MYS",7,2011,15887.77149461430402782,7960675.841184601613078
"MYS",8,2011,57724.44447828233396908,27301857.655914872877367
"MYS",9,2011,21466.06144992386598137,9463618.888340724516966
"MYS",10,2011,396.37485115724086423,27354.059291000900774
"MYS",11,2011,579.71092520536043434,108871.462178999486625
"MYS",12,2011,19.6702921774102201,1776.08831363997158
"MYS",13,2011,68464.32333285326634764,39281200.164478400460727
"MYS",14,2011,191238.67188207727902071,177482736.382641330349071
"MYS",15,2011,3685.92146014251007805,1551632.468324400369508
"MYS",16,2011,12267.49183565280744267,6426643.790667461925297
"MYS",1,2012,38805.24385942987922388,16259926.561621220126793
"MYS",2,2012,8920.88435741040857384,5146789.674163577988739
"MYS",3,2012,35189.78350801307060212,24137222.892874676245170
"MYS",4,2012,53.00795326284637792,26710.20449744400979
"MYS",5,2012,119.36042617985009886,66854.668528006928596
"MYS",6,2012,2548.38188582009390680,1108725.225169789032758
"MYS",7,2012,24582.93346521385430499,13028463.594997788430590
"MYS",8,2012,93638.65133094789624769,49611555.223993875204297
"MYS",9,2012,25397.43115787271627990,9474405.787547782968862
"MYS",10,2012,637.02788853168644013,41061.780725309491132
"MYS",11,2012,672.01242781942611645,126361.128015613772130
"MYS",12,2012,12.90858867710408688,2075.80743020946028
"MYS",13,2012,104650.12955002835905523,56363214.043754785408434
"MYS",14,2012,268502.78923624237246656,238637754.484103462413217
"MYS",15,2012,7759.50298036465605043,2903797.415944925707769
"MYS",16,2012,16893.23157330197991069,9314844.338844818667506
"MYS",1,2013,24984.69975208846133136,8825081.159025793408239
"MYS",2,2013,7335.54039135327204047,3859519.891103666299079
"MYS",3,2013,16593.89078930768775696,11310172.519392122113929
"MYS",4,2013,1.61323660250583235,1005.59812455082276
"MYS",5,2013,17.3903041391525362,9633.13976528637916
"MYS",6,2013,1403.80092793318626886,478811.334543122795100
"MYS",7,2013,10914.65503499601929106,3258430.786066926880343
"MYS",8,2013,42558.24803179584942629,22286801.821197476467879
"MYS",9,2013,17761.36463854949179699,5632362.839448930461929
"MYS",10,2013,372.91089232764485303,61988.866674592207175
"MYS",11,2013,354.82134363491896500,53775.19052656181029
"MYS",12,2013,6.53113490065565448,1568.3134714112335
"MYS",13,2013,65539.72291401854642439,29060356.813881728621430
"MYS",14,2013,128694.51545797185823839,107018733.039677253029619
"MYS",15,2013,3549.12435550853684206,1459678.946487773968339
"MYS",16,2013,13272.73828041201555109,6250224.344448185023194
"MYS",1,2014,49796.94468856387480029,20121883.481373752019883
"MYS",2,2014,15644.40995798233960115,8803531.465868622971284
"MYS",3,2014,38713.92534021875205155,27104599.525849822539051
"MYS",4,2014,55.31249981865947985,27993.87679742350791
"MYS",5,2014,70.94090619487055174,37248.84565122446287
"MYS",6,2014,5024.26500152752783507,2039199.320983279758479
"MYS",7,2014,18280.92749303820634500,7676952.458886609621880
"MYS",8,2014,86751.95147828916524015,45471321.561458674245205
"MYS",9,2014,33900.31840226808906419,12216473.891259635282751
"MYS",10,2014,508.71582585491199588,187270.630208717175143
"MYS",11,2014,826.90185990744807553,168759.350834496970094
"MYS",12,2014,22.66680992608141054,5136.221013359847919
"MYS",13,2014,137521.25598400662391194,68446370.259054569554038
"MYS",14,2014,229051.22097934531296769,175015464.071596020693015
"MYS",15,2014,13558.34252588517647549,8064806.635389224291977
"MYS",16,2014,16298.85473643975523937,9555310.187508721935466
"MYS",1,2015,31797.32539305723555666,12158470.562997742840445
"MYS",2,2015,13411.42749280277693762,8351995.992020858264955
"MYS",3,2015,24416.49164632888355715,16603052.464288051576801
"MYS",4,2015,31.49655633661334072,16883.054906101418651
"MYS",5,2015,79.36853132355056916,44657.582023971298065
"MYS",6,2015,3120.45269635637228973,1118219.418388715158527
"MYS",7,2015,10458.94021630796112150,4823305.188085695967298
"MYS",8,2015,62751.13899156684622482,32339503.314348336205900
"MYS",9,2015,23935.47181155987205969,9301920.942644961616682
"MYS",10,2015,258.29191789919346286,127986.15508791038697
"MYS",11,2015,491.42084340973792186,125644.790151769118835
"MYS",12,2015,25.81708841171617892,4845.425090339868734
"MYS",13,2015,106917.41880327442710634,52112757.520152575602138
"MYS",14,2015,156136.71031435141958992,114295444.063906048994158
"MYS",15,2015,5913.73312059548071778,2164876.648975418866759
"MYS",16,2015,14745.31758953670040996,8168078.997239464743170
"MYS",1,2016,45063.94374250312870512,18498462.084296488224678
"MYS",2,2016,14905.69625992876150554,9556563.610620674230211
"MYS",3,2016,27173.93943692243922215,18578209.967280109613643
"MYS",4,2016,43.48010754125716898,22292.366559331348446
"MYS",5,2016,119.50887531500655891,66189.711393035256404
"MYS",6,2016,5324.09550950389355541,2276230.707296332472190
"MYS",7,2016,16639.77619429383582791,8179162.248050513371779
"MYS",8,2016,99966.76677005224208250,57359924.334911220486553
"MYS",9,2016,32983.12221926655005713,12248396.904477522818930
"MYS",10,2016,714.37649702740621028,246435.700756826567491
"MYS",11,2016,726.23190707907895735,184216.772097864420308
"MYS",12,2016,54.55388475550009029,11997.138572405028933
