Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Denmark,13.286,13.3864,13.4868,13.5872,13.6876,13.788,13.8884,13.9888,14.0892,14.1896,14.29,14.327225,14.36445,14.401675,14.4389,14.476125,14.51335,14.550575,14.5878,14.625025,14.66225,14.8532,15.04415,15.2351,15.42605,15.617,15.6165,15.64,15.664,15.6875,15.711,15.7345,15.758,15.7815,,
Dominican Republic,33.01366177,33.79523908,34.57681639,35.35839371,36.13997102,36.92154833,37.70312565,38.48470296,39.26628027,40.04785759,40.8294349,41.03777686,41.24611882,41.45446077,41.66280273,41.87114469,42.07948665,42.28782861,42.49617057,42.70451252,42.91285448,43.03924653,43.16563858,43.29203064,43.41842269,43.54481474,43.71227489,43.87973504,44.0471952,44.31738067,44.48522989,44.65307911,44.82092833,44.98877755,,
Algeria,0.69990847,0.696213693,0.692518915,0.688824137,0.685129359,0.681434581,0.677739804,0.674045026,0.670350248,0.66665547,0.662960693,0.677193984,0.691427276,0.705660567,0.719893859,0.734127151,0.748360442,0.762593734,0.776827026,0.791060317,0.805293609,0.808484553,0.811675498,0.814866442,0.818057387,0.821247986,0.821247986,0.815789794,0.810331602,0.814110692,0.818309303,0.822088053,0.826286664,0.830314224,,
East Asia & Pacific (excluding high income),29.11828369,29.10634238,29.09142702,29.07651167,29.06159632,29.0466992,29.03180207,29.0168867,29.00197132,28.98705595,28.87872171,28.9976224,29.11755254,29.2241217,29.34368494,29.45759694,29.57077442,29.68998057,29.80878378,29.92771711,30.04597622,30.0809965,30.11591612,30.15187592,30.18617231,30.221127,30.34892315,30.34983804,30.39784552,30.44581973,30.4933829,30.51266184,30.5605969,,,
Early-demographic dividend,26.34475057,26.22177337,25.47987836,25.17005999,25.05755155,24.93978555,24.82201956,24.70425356,24.60763292,24.48976564,24.31545874,24.25045655,24.18541481,24.12052858,23.96396615,23.89920838,23.83428166,23.76932883,23.70473395,23.63956455,23.57485493,23.48326488,23.39174135,23.3001835,23.20955566,23.11458312,23.06864582,22.97916922,22.91149503,22.84545101,22.78045029,22.70445365,22.65338853,,,
East Asia & Pacific,26.26820475,26.2553026,26.23839963,26.22149666,26.20459368,26.18770146,26.17091667,26.15401361,26.13711056,26.1202075,26.04842556,26.1165805,26.18558115,26.24676276,26.31559133,26.38109765,26.44617646,26.51478204,26.58311459,26.65152813,26.71946991,26.77084376,26.82201623,26.87380046,26.92473628,26.97604616,27.0866795,27.08605906,27.11670726,27.14801101,27.17984738,27.19473679,27.22664712,,,
Europe & Central Asia (excluding high income),,,9.798032423,9.824567629,9.851217992,9.877861777,9.904495476,9.931120738,9.958007198,9.985291381,9.993872,10.02555241,10.05715029,10.0887518,10.12033949,10.1518276,10.57790029,10.6168168,10.65559225,10.69439156,10.73321688,10.7767347,10.82013816,10.86348846,10.90896958,10.94343206,10.9750677,11.01316527,11.05737341,11.10184421,11.15243305,11.19673555,11.24125011,,,
Europe & Central Asia,,,37.73509896,37.76493479,37.80354474,37.83961953,37.87200945,37.80763832,37.83607466,37.85848793,37.86624292,37.91461999,37.96190823,38.00751687,38.05385307,38.10027712,38.13465094,38.18267639,38.23251265,38.27908184,38.32516224,38.3463558,38.36712048,38.38627792,38.40780031,38.42276763,38.44435259,38.46897809,38.48477883,38.50169316,38.52433005,38.54099949,38.5583486,,,
Ecuador,52.85439243,52.52867721,52.202962,51.87724679,51.55153157,51.22581636,50.90010114,50.57438593,56.01079884,55.64773313,55.28466742,55.00188839,54.71910936,54.43633033,54.1535513,53.87077227,53.58799324,53.30521421,53.02243517,52.73965614,52.45687711,52.28856499,52.12025286,51.95194073,51.7836286,51.61531648,51.3565389,51.09776131,50.83898373,50.58020615,50.32142857,50.06265099,49.80387341,49.54509583,,
"Egypt, Arab Rep.",0.044010247,0.045557286,0.047104325,0.048651364,0.050198403,0.051745442,0.053292481,0.05483952,0.056386559,0.057933598,0.059480637,0.060126576,0.060772515,0.061418454,0.062064393,0.062710332,0.063356271,0.06400221,0.064648149,0.065294088,0.065940027,0.062480285,0.059020543,0.055560802,0.05210106,0.048641318,0.045185594,0.045185594,0.045185594,0.045185594,0.045185594,0.045185594,0.045185594,0.045185594,,
Euro area,33.42262546,33.66680397,34.72542165,35.03869382,35.26609657,35.49350103,35.71998158,35.94778269,36.1763941,36.40421377,36.4511724,36.60317483,36.74166429,36.88007815,37.03010897,37.1769191,37.33043214,37.47455811,37.6269166,37.77300095,37.89979984,37.98250556,38.05862674,38.11953192,38.20008802,38.28864432,38.34243299,38.4214377,38.47559401,38.52993375,38.58648735,38.64076127,38.69835321,,,
Eritrea,,,,11.29287129,11.26158416,11.23029703,11.1990099,11.16772277,11.13643564,11.10514851,11.07386139,11.04257426,11.01128713,10.98,9.140320769,9.11098558,9.086474152,9.058220229,9.030254666,9.003251617,8.977483792,8.949616385,8.924026107,8.900342223,8.875197116,8.845245978,8.819973667,8.79432689,8.767757211,8.741453809,8.71821524,8.682254729,8.656177431,8.630100134,,
Spain,27.84050136,28.47907056,29.11763976,29.75620895,30.39477815,31.03334735,31.67191655,32.31048574,32.94905494,33.58762414,34.25637275,34.58050028,34.83530779,35.11418641,35.40705557,35.70425174,36.00299812,36.28442027,36.59795108,36.89928809,37.0899382,37.10192046,37.07977849,37.08211351,37.08444853,37.12753247,37.14286858,37.15223392,37.15664678,37.16772156,37.17730549,37.17275211,37.18279228,37.19258895,,
Estonia,,,52.19386648,52.27169144,52.3495164,52.42734135,52.50516631,52.58299127,52.66081623,52.73864119,52.81646615,53.04560038,53.27473461,53.50386884,53.73300307,53.9621373,54.19127153,54.42040576,54.64953999,54.87867422,55.10780845,55.50879925,55.90979004,54.91175523,55.30278353,55.69381182,55.69933287,57.03859649,57.03859649,57.03859649,57.03859649,57.03859649,57.0652937,57.0652937,,
Ethiopia,,,,19.0395,18.9665,18.8935,18.8205,18.7475,18.6745,18.6015,18.5285,18.4555,18.3825,18.3095,16.15855363,16.09383592,16.02896369,15.96402793,15.90023395,15.83526539,15.77082877,15.70608815,15.6413078,15.57676288,15.51254397,15.44784347,15.38289774,15.31829082,15.25348997,15.188678,15.12398772,15.06018224,14.99558529,14.93089758,,
European Union,36.04777749,36.22343628,36.80553033,36.95220716,37.11877883,37.28600587,37.45210117,37.61989784,37.78722531,37.95446034,37.98595293,38.11149645,38.24339119,38.35930326,38.48233406,38.60567079,38.7326135,38.85366273,38.97968109,39.09116181,39.1990406,39.28224022,39.36304069,39.43158977,39.50644573,39.5948493,39.64416516,39.70506315,39.7488789,39.79361474,39.83878152,39.88287959,39.9291602,,,
Fragile and conflict affected situations,29.93407421,29.80015343,29.19268046,28.39850789,28.27165258,28.14479727,28.01794196,27.89108665,27.76423134,27.63737603,27.51052072,27.39646949,27.28243358,27.16867213,26.83099012,26.71784286,26.60452272,26.49130105,26.3785718,26.26989082,26.15686691,26.02241028,24.03885262,23.91273978,23.7863581,23.65982442,23.52866784,23.40251845,23.27930485,23.15377201,23.03147855,22.90700286,22.7884219,,,
Finland,71.81893693,72.00617551,72.1934141,72.38065268,72.56789126,72.75512985,72.94236843,73.12960701,73.3168456,73.50408418,73.69132276,73.62446568,73.55760859,73.4907515,73.42389442,73.35703733,73.40585972,73.34372061,73.32256663,73.25555775,73.18854886,73.30086544,73.41077364,73.52068183,73.63059002,73.73564542,73.73564542,73.73321927,73.73321927,73.73079327,73.72836744,73.72649966,73.72649966,73.72351625,,
Fiji,51.43349754,51.79901478,52.16453202,52.53004926,52.8955665,53.26108374,53.62660099,53.99211823,54.35763547,54.72315271,55.08866995,55.45413246,55.81959496,56.18505747,56.55051998,56.91598248,57.28144499,57.6469075,58.01237001,58.37783251,58.74329502,59.10870279,59.47411056,59.83951834,60.20492611,60.57033388,60.93596059,61.3015873,61.66721401,62.03284072,62.39846743,62.76409414,63.12972085,63.49534756,,
France,26.78541609,26.94350125,27.10158642,27.25967158,27.41775675,27.57584191,27.73392708,27.89201225,28.05009741,28.20818258,28.36626774,28.57612023,28.78597272,28.99582522,29.20567771,29.4155302,29.62538269,29.83523518,30.04508767,30.25494016,30.46479265,30.61953799,30.77428333,30.92902867,31.08377401,31.23851934,31.39326468,31.54801002,31.70275536,31.8575007,32.01224603,32.16699137,32.32173671,32.47648205,,
Faroe Islands,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.058565154,0.058394161,0.058394161,0.058394161,,
"Micronesia, Fed. Sts.",,90.86857143,90.90857143,90.94857143,90.98857143,91.02857143,91.06857143,91.10857143,91.14857143,91.18857143,91.22857143,91.26714286,91.30571429,91.34428571,91.38285714,91.42142857,91.46,91.49857143,91.53714286,91.57571429,91.61428571,91.65428571,91.69428571,91.73428571,91.77428571,91.81428571,91.85714286,91.9,91.94285714,91.98571429,92.02857143,92.07142857,92.11428571,92.15714286,,
Gabon,92.21725463,92.19334032,92.16942601,92.1455117,92.12159739,92.09768308,92.07376877,92.04985447,92.02594016,92.00202585,91.97811154,91.9584779,91.93884426,91.91921062,91.89957698,91.87994334,91.8603097,91.84067606,91.82104242,91.80140878,91.78177514,91.73566189,91.68954865,91.6434354,91.59732216,91.55120891,91.50510343,91.45899794,91.41289246,91.36678698,91.32068149,91.27457601,91.22847052,91.18236504,,
United Kingdom,11.48266027,11.55540859,11.6281569,11.70090522,11.77365354,11.84640185,11.91915017,11.99189848,12.0646468,12.13739511,12.21014343,12.25354441,12.2969454,12.34034638,12.38374736,12.42714835,12.47054933,12.51395032,12.5573513,12.60075228,12.64415327,12.72351507,12.80287687,12.88223866,12.96160046,13.04096226,13.05749597,13.07816311,13.11536395,13.15256479,13.18563221,13.22145538,13.25548712,13.29071302,,
Georgia,,,39.63102605,39.64297021,39.65491438,39.66685854,39.67880271,39.69074687,39.70269103,39.7146352,39.72657936,39.81551302,39.90444668,39.99338034,40.082314,40.17124766,40.26018132,40.34911498,40.43804864,40.5269823,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,,
Ghana,43.61545223,43.14272216,42.66999209,42.19726202,41.72453195,41.25180188,40.77907181,40.30634174,39.83361167,39.3608816,38.88815153,38.49012042,38.0920893,37.69405819,37.29602707,36.89799596,36.49996484,36.10193373,35.70390261,35.3058715,34.90784038,34.85291377,34.79798717,34.74306056,34.68813395,34.63320735,34.81691131,35.00061528,35.03234596,35.06515538,35.09739375,35.12867716,35.1604431,35.19219586,,
